,requests,requests_duration_mean,num_pods,pod_cpu_limit,node_cores,node_mem,pod_mem_limit,pod_util_cpu_avg,pod_util_mem_avg,total_cpu_util,total_mem_util
100,296.0,89.53953350675673,2,0.1,1.0,0.9715576171875,0.09765625,0.006500000000000001,0.028289794921875,0.013000000000000001,0.05657958984375
101,297.0,33.094313427609414,1,0.1,2.0,3.8617095947265625,0.09765625,0.013000000000000001,0.013736724853515625,0.013000000000000001,0.013736724853515625
102,298.0,78.40277731208054,3,0.1,1.0,0.9715576171875,0.09765625,0.012333333333333335,0.03496678670247396,0.037000000000000005,0.10490036010742188
103,299.0,18.593188240802668,2,0.5,4.0,15.674213409423828,0.48828125,0.0175,0.033824920654296875,0.035,0.06764984130859375
104,300.0,16.696430320000005,1,1.0,1.0,1.9559326171875,1.9559326171875,0.012,0.016315460205078125,0.012,0.016315460205078125
105,301.0,16.156577063122917,1,0.5,4.0,15.674213409423828,0.48828125,0.035,0.05008697509765625,0.035,0.05008697509765625
106,302.0,16.101883341059605,1,1.0,2.0,3.8617095947265625,0.48828125,0.044,0.043178558349609375,0.044,0.043178558349609375
107,302.0,17.39993063576159,1,0.5,2.0,3.8617095947265625,0.48828125,0.042,0.041515350341796875,0.042,0.041515350341796875
108,303.0,16.64982183498351,2,1.0,4.0,15.674213409423828,0.48828125,0.0215,0.03703117370605469,0.043,0.07406234741210938
109,304.0,16.70551438815789,1,1.0,2.0,7.799198150634766,0.9765625,0.04,0.043720245361328125,0.04,0.043720245361328125
110,305.0,19.61315946557379,2,0.5,2.0,3.8617095947265625,0.48828125,0.02,0.04116249084472656,0.04,0.08232498168945312
111,306.0,898.9872853496732,1,0.1,2.0,7.799198150634766,0.09765625,0.045000000000000005,0.0678253173828125,0.045000000000000005,0.0678253173828125
112,309.0,16.247778339805826,1,1.0,2.0,7.799198150634766,0.48828125,0.044,0.04711151123046875,0.044,0.04711151123046875
113,314.0,15.956102847133755,1,1.0,4.0,15.674213409423828,1.953125,0.04,0.0438385009765625,0.04,0.0438385009765625
114,316.0,17.09166383544303,1,0.2,1.0,0.9715576171875,0.1953125,0.038000000000000006,0.041500091552734375,0.038000000000000006,0.041500091552734375
115,323.0,959.1842118513927,1,0.1,4.0,15.674213409423828,0.09765625,0.051000000000000004,0.05036163330078126,0.051000000000000004,0.05036163330078126
116,324.0,25.148127561728405,3,0.2,4.0,15.674213409423828,0.1953125,0.015666666666666666,0.029699961344401043,0.047,0.08909988403320312
117,328.0,1109.6503719603666,1,0.1,1.0,0.9715576171875,0.09765625,0.063,0.054714202880859375,0.063,0.054714202880859375
118,329.0,18.26819202735562,1,0.2,4.0,15.674213409423828,0.1953125,0.047,0.043788909912109375,0.047,0.043788909912109375
119,330.0,15.49416976060606,1,1.0,4.0,15.674213409423828,0.48828125,0.047,0.047412872314453125,0.047,0.047412872314453125
120,334.0,16.40630099401198,1,1.0,2.0,3.8617095947265625,0.9765625,0.045,0.050182342529296875,0.045,0.050182342529296875
121,336.0,1786.885481074404,1,0.1,1.0,0.9715576171875,0.09765625,0.08000000000000002,0.076873779296875,0.08000000000000002,0.076873779296875
122,336.0,1458.8260880089288,1,0.1,1.0,0.9715576171875,0.09765625,0.068,0.06378936767578125,0.068,0.06378936767578125
123,339.0,1466.0299724395277,1,0.1,2.0,3.8617095947265625,0.09765625,0.072,0.07974624633789062,0.072,0.07974624633789062
124,340.0,1650.996170694117,1,0.1,2.0,7.799198150634766,0.09765625,0.074,0.0658111572265625,0.074,0.0658111572265625
125,340.0,16.49204835588235,1,1.0,2.0,3.8617095947265625,1.953125,0.054,0.046863555908203125,0.054,0.046863555908203125
126,341.0,1313.8020867683279,1,0.1,2.0,7.799198150634766,0.09765625,0.063,0.06671524047851562,0.063,0.06671524047851562
127,341.0,1124.28150739003,1,0.1,2.0,3.8617095947265625,0.09765625,0.071,0.0489959716796875,0.071,0.0489959716796875
128,341.0,2192.7670583900276,1,0.1,1.0,1.9559326171875,0.09765625,0.07500000000000001,0.04906463623046875,0.07500000000000001,0.04906463623046875
129,342.0,1551.4741486549706,1,0.1,1.0,1.9559326171875,0.09765625,0.07600000000000001,0.0672454833984375,0.07600000000000001,0.0672454833984375
130,342.0,1698.988708628655,1,0.1,4.0,15.674213409423828,0.09765625,0.07800000000000001,0.07823562622070312,0.07800000000000001,0.07823562622070312
131,343.0,1359.994212559767,1,0.1,4.0,15.674213409423828,0.09765625,0.065,0.08389663696289062,0.065,0.08389663696289062
132,343.0,2225.2393116734725,1,0.1,2.0,3.8617095947265625,0.09765625,0.073,0.056812286376953125,0.073,0.056812286376953125
133,344.0,1778.5523162383718,1,0.1,2.0,3.8617095947265625,0.09765625,0.07700000000000001,0.073272705078125,0.07700000000000001,0.073272705078125
134,345.0,1866.4153250898542,1,0.1,1.0,1.9559326171875,0.09765625,0.073,0.06426620483398438,0.073,0.06426620483398438
135,346.0,1163.159392531792,1,0.1,1.0,0.4793853759765625,0.09765625,0.05600000000000001,0.0884552001953125,0.05600000000000001,0.0884552001953125
136,360.0,2247.213769977777,1,0.1,1.0,0.9715576171875,0.09765625,0.073,0.053287506103515625,0.073,0.053287506103515625
137,360.0,19.64053546111112,1,0.2,1.0,0.9715576171875,0.1953125,0.052000000000000005,0.0554351806640625,0.052000000000000005,0.0554351806640625
138,361.0,16.078573747922437,1,1.0,2.0,7.799198150634766,1.953125,0.057,0.048675537109375,0.057,0.048675537109375
139,369.0,16.185768571815707,1,0.5,2.0,7.799198150634766,0.48828125,0.06,0.043415069580078125,0.06,0.043415069580078125
140,378.0,15.935046111111102,2,1.0,4.0,15.674213409423828,1.953125,0.03,0.03825950622558593,0.06,0.07651901245117186
141,378.0,15.025702108465596,1,2.0,4.0,15.674213409423828,3.90625,0.047,0.041309356689453125,0.047,0.041309356689453125
142,379.0,16.71939747229554,1,0.2,1.0,1.9559326171875,0.1953125,0.05600000000000001,0.07308197021484375,0.05600000000000001,0.07308197021484375
143,381.0,69.90999905511808,2,0.1,1.0,1.9559326171875,0.09765625,0.0295,0.04339408874511719,0.059,0.08678817749023438
144,390.0,65.68689411025642,3,0.1,2.0,3.8617095947265625,0.09765625,0.02266666666666667,0.028776804606119793,0.068,0.08633041381835938
145,392.0,25.963315349489765,2,0.2,2.0,3.8617095947265625,0.1953125,0.0335,0.03840446472167969,0.067,0.07680892944335938
146,392.0,19.291769798469367,2,0.5,2.0,7.799198150634766,0.48828125,0.0345,0.04828071594238282,0.069,0.09656143188476564
147,392.0,2172.2341794183685,1,0.1,1.0,0.4793853759765625,0.09765625,0.08900000000000001,0.08359909057617188,0.08900000000000001,0.08359909057617188
148,399.0,15.919328065162901,1,1.0,4.0,15.674213409423828,0.9765625,0.069,0.04309844970703125,0.069,0.04309844970703125
149,400.0,16.104521019999982,2,1.0,4.0,15.674213409423828,0.9765625,0.032,0.04807472229003906,0.064,0.09614944458007812
