,requests,requests_duration_mean,num_pods,pod_cpu_limit,node_cores,node_mem,pod_mem_limit,pod_util_cpu_avg,pod_util_mem_avg,total_cpu_util,total_mem_util
1118,4088.0,898.418519940803,1,0.2,1.0,0.9715576171875,0.1953125,0.15000000000000002,0.07719802856445312,0.15000000000000002,0.07719802856445312
1119,4088.0,6.14293100733855,1,1.0,4.0,15.674213409423828,0.48828125,0.193,0.07471847534179688,0.193,0.07471847534179688
1120,4094.0,981.888730860282,2,0.1,2.0,3.8617095947265625,0.09765625,0.0675,0.07911491394042969,0.135,0.15822982788085938
1121,4097.0,6.351202136197213,2,0.5,2.0,3.8617095947265625,0.48828125,0.096,0.05815887451171874,0.192,0.11631774902343749
1122,4100.0,11.59048694048778,2,0.2,1.0,0.4793853759765625,0.1953125,0.09650000000000002,0.079315185546875,0.19300000000000003,0.15863037109375
1123,4102.0,891.4342792308613,1,0.2,1.0,1.9559326171875,0.1953125,0.15000000000000002,0.07580947875976562,0.15000000000000002,0.07580947875976562
1124,4105.0,904.2810727330109,2,0.1,2.0,3.8617095947265625,0.09765625,0.07600000000000001,0.07565498352050781,0.15200000000000002,0.15130996704101562
1125,4118.0,1020.4930372663906,2,0.1,2.0,3.8617095947265625,0.09765625,0.07500000000000001,0.0721302032470703,0.15000000000000002,0.1442604064941406
1126,4120.0,7.111328314077675,1,1.0,2.0,3.8617095947265625,0.9765625,0.171,0.060832977294921875,0.171,0.060832977294921875
1127,4121.0,8.909682380490178,2,0.2,1.0,0.9715576171875,0.1953125,0.09150000000000001,0.06279563903808594,0.18300000000000002,0.12559127807617188
1128,4123.0,1234.7505579316016,2,0.1,1.0,1.9559326171875,0.09765625,0.09450000000000001,0.08065414428710938,0.18900000000000003,0.16130828857421875
1129,4130.0,1615.1897441508481,1,0.2,1.0,0.9715576171875,0.1953125,0.17500000000000002,0.09294509887695312,0.17500000000000002,0.09294509887695312
1130,4134.0,2284.6363959044506,2,0.1,1.0,0.9715576171875,0.09765625,0.09,0.08034324645996094,0.18,0.16068649291992188
1131,4136.0,1259.20613477079,2,0.1,2.0,3.8617095947265625,0.09765625,0.0725,0.06908988952636719,0.145,0.13817977905273438
1132,4136.0,6.130020543278527,2,0.5,2.0,7.799198150634766,0.48828125,0.0905,0.06363105773925783,0.181,0.12726211547851565
1133,4139.0,5.662407323024901,2,0.2,2.0,7.799198150634766,0.1953125,0.09250000000000001,0.06969451904296875,0.18500000000000003,0.1393890380859375
1134,4140.0,1247.1845525135266,2,0.1,4.0,15.674213409423828,0.09765625,0.0725,0.08602333068847656,0.145,0.17204666137695312
1135,4140.0,1720.5854461970991,1,0.2,4.0,15.674213409423828,0.1953125,0.15500000000000003,0.08951187133789062,0.15500000000000003,0.08951187133789062
1136,4145.0,5.595805294813017,1,1.0,2.0,3.8617095947265625,0.9765625,0.156,0.07727432250976562,0.156,0.07727432250976562
1137,4146.0,437.14049038760254,2,0.1,1.0,0.4793853759765625,0.09765625,0.0815,0.06876754760742188,0.163,0.13753509521484375
1138,4152.0,1723.0835624450865,1,0.2,1.0,0.4793853759765625,0.1953125,0.189,0.0912322998046875,0.189,0.0912322998046875
1139,4157.0,5.39986000673564,1,0.2,4.0,15.674213409423828,0.1953125,0.127,0.07433319091796875,0.127,0.07433319091796875
1140,4164.0,1458.0676962276686,1,0.2,2.0,3.8617095947265625,0.1953125,0.198,0.0876922607421875,0.198,0.0876922607421875
1141,4165.0,900.9769217462193,2,0.1,4.0,15.674213409423828,0.09765625,0.08500000000000002,0.07993316650390626,0.17000000000000004,0.15986633300781253
1142,4165.0,1008.8461152384169,2,0.1,4.0,15.674213409423828,0.09765625,0.07800000000000001,0.07725715637207031,0.15600000000000003,0.15451431274414062
1143,4170.0,287.84484529304535,1,0.2,2.0,7.799198150634766,0.1953125,0.15100000000000002,0.07714462280273438,0.15100000000000002,0.07714462280273438
1144,4179.0,1179.3196685867426,2,0.1,4.0,15.674213409423828,0.09765625,0.07700000000000001,0.07802772521972656,0.15400000000000003,0.15605545043945312
1145,4182.0,1586.5406803350106,1,0.2,4.0,15.674213409423828,0.1953125,0.163,0.08849334716796875,0.163,0.08849334716796875
1146,4183.0,5.280255809227829,3,1.0,4.0,15.674213409423828,1.953125,0.08,0.05462646484375001,0.24,0.16387939453125003
1147,4185.0,6.255488480525659,1,1.0,2.0,7.799198150634766,0.48828125,0.153,0.0764617919921875,0.153,0.0764617919921875
1148,4186.0,1123.1350567152417,1,0.2,2.0,7.799198150634766,0.1953125,0.18500000000000003,0.08376312255859375,0.18500000000000003,0.08376312255859375
1149,4186.0,5.717546274008599,1,1.0,2.0,3.8617095947265625,0.48828125,0.175,0.07480239868164062,0.175,0.07480239868164062
1150,4187.0,1059.0451203780754,2,0.1,2.0,7.799198150634766,0.09765625,0.072,0.08197402954101562,0.144,0.16394805908203125
1151,4188.0,6.037736131805155,1,1.0,4.0,15.674213409423828,0.9765625,0.181,0.07616043090820312,0.181,0.07616043090820312
1152,4192.0,6.163268903864498,1,1.0,2.0,7.799198150634766,0.48828125,0.166,0.074554443359375,0.166,0.074554443359375
1153,4194.0,8.799012805674758,2,0.2,4.0,15.674213409423828,0.1953125,0.07550000000000001,0.05868339538574218,0.15100000000000002,0.11736679077148436
